,弹幕
177,我家以前有那种CD老歌CD还带MV的 里面就有这个歌
178,这个是春晚版的，不是MV。
179,这一年我两岁
180,那年我还在转世的路上
181,我的回忆 玉建我
182,我出生前的最近一场春晚，93年路过~
183,别再传播谣言了！
184,这个节目当年在十一点左右
185,这个是真童年啊啊
186,大哥们，那个时候只有有线麦克风，拿着唱还跳什么舞
187,我好喜欢这个编舞啊！
188,你的围巾 是你的围巾
189,广东流行音乐不朽的经典之作
190,完了我发现我审美停留在上个世纪
191,他那会儿才24岁，比现在很多所谓小鲜肉要年轻很多
192,现在春晚也是对口型
193,经常听到长辈们哼
194,气球哥过来的
195,气球哥视频来的
196,九年后 我才出生
197,气球哥来一首
198,气球哥过来的
199,卧槽好帅
200,还真有点像霸哥
201,涛声依旧了
202,女主角不会是尤三姐的扮演者吧
203,月落乌啼霜满天
204,此时我想到了赵本山
205,斧头帮的走位
206,当年五岁
207,许文强和冯程程
208,93我出身了！怪不得我特喜欢这歌
209,跨栏运动员唱的不错
210,从张敬轩那儿过来的
211,不知道排练了多久
212,全损音质
213,中国原创音乐的年代
214,奎哥6666
215,月落乌啼霜满天，江枫渔火对愁眠。 姑苏城外寒山寺，夜半钟声到客船
216,再有6年就有我了
217,太有意境了
218,当年的金童玉女
219,我以为是迈克
220,好家伙连麦都不用
221,做梦梦到这首歌了
222,破船（2/100）
223,还有5年我才出生，91年我家那两位也只是刚刚结婚
224,父亲爱听的歌
225,我出生在那个美好的年代
226,月落乌啼霜满天，江枫渔火对愁眠
227,赵本山：涛声依旧了！
228,这首是录了对的口型吧
229,03年的我觉得这首歌很好听
230,那时的歌手，至少有实力
231,曲好，词好，舞美也好
232,还是以前的春晚好啊
233,大年初二出生的我就是93
234,翩翩公子温润如玉
235,毛帅威武！
236,2012年之后再无神曲
237,前线歌舞团
238,好帅，我96年。毛宁哥唱的好棒！
239,我当年眼光真好
240,顶配霸哥
241,我十年后才出生。
242,好好听啊！永不过时
243,看屏幕上边
244,气质太好了
245,毛宁这是真的帅
246,17岁体院团支书
247,体院团支书
248,曾经是广州军区文艺兵
249,温润如玉真君子
250,我那时候还没呢出生
251,好听 都是回忆
252,歌是提前录好的，节目是直播
253,还有十年，我即将诞生
254,十年后，我诞生了
255,以前的歌写的真有意境，枫桥夜泊的解读啊
256,长腿帅哥
257,以前这种经典歌都是艺术，现在歌曲太商业
258,~~ /  经典  //
259,经典中的经典
260,这个歌我手机一直存着
261,那年还是我的上辈子
262,那年我确实还没出生
263,暴露年龄
264,至今还被感动
265,91年的我最喜欢这首歌了，所有的歌都无法比拟
266,这是谣言！！！
267,天哪，为什么我觉得他很...美...
268,超喜欢这个舞蹈
269,为什么连耳麦都不带
270,昨天今天明天
271,随便走走都好有意思
272,真的是很好看了
273,以前的鲜肉，现在的鲜肉过不了多久也要老的
274,那时候颜值巅峰
275,二十世纪大陆歌坛，二十大经典名曲
276,那时候流行这个
277,那个时候都是对口型吧
278,气球哥来的
279,弯弯的月亮
280,登上的破船
281,全损音质
282,赵本山改了就回不去了，一直唱破船
283,走位神了
284,毛宁帅死我了
285,88年的飘过
286,奎哥6666
287,那时候还没有出生
288,毛宁真的好帅
289,现在的歌写不出来这种词了
290,经典
291,那一年我刚出生
292,好帅
293,节目也是录的，
294,我妈特喜欢听的歌
295,谁看谁不迷糊啊，太帅了
296,-14岁
297,时间太快，美好回忆
298,经典
299,经典呀
300,这一年我都三岁了
301,浪漫
302,赵玉田
303,88年扑来
304,月落乌啼霜满天 江枫渔火对愁眠 姑苏城外寒山寺 夜半钟声到客船
305,这时候我还在我妈肚子里了！还有二十几才出来！
306,那年我3岁
307,是真的帅
308,昨天今天明天
309,好有年代感呀
310,其实放现在也没什么事，但那个时候
311,童年记忆
312,还有4年，我就出生了
313,国民初恋
314,内地最帅男歌手
315,经典
316,好优雅
317,记忆犹新
318,当时我已经20了
319,毛宁真的好帅
320,我会唱的唯一一首歌
321,歌词写得太诗意了
322,编舞也好看
323,90年代小鲜肉
324,我还是个细胞
325,前面八组的别跑
326,红红火火恍恍惚惚
327,当时我才两岁多
328,我這張舊船票，能否登上你地破船
329,那年两岁
330,好风流
331,毛宁真的好帅
332,无法复制的经典
