Unnamed: 0,弹幕
1,势在必得的改名
2,工作后回来重新学习
3,大佬的学习方法PICK！
4,再来一遍看还是很好的
5,有人知道这个大佬是谁吗？
6,《模式识别与机器学习》（Pattern Recognition and Machine Learning）
7,淮北师范计算机辅导员田春雨报道
8,还有一个比较好的视频就是这个白板推导(手动狗头.jpg)
9,主讲是清华的大佬
10,李老师的课程比较生动形象
11,哈哈哈哈哈，改名叫志华
12,业内人士感觉的最强大佬，比那些教授强，应该是一线干过的大佬
13,《基本》
14,《简单讲一下》
15,西瓜书算简单的了，还难啃
16,白板推导系列
17,李老师超级可爱
18,《基本》
19,好喜欢up讲课的节奏，娓娓道来
20,这怕不是个神仙，我来学一学
