,弹幕
172,这飞机高配还带天窗
173,安全着陆撒花！
174,客机开出了战斗机的效果
175,技术总监：我也要坐
176,毛式着陆
177,乘客：这鸟会不会把我带走
178,居然安全着陆了
179,看本视频记得把手机调成飞行模式
180,我已出仓，感觉良好
181,《电 池 两 块》
182,来个因麦曼回转（doge）
183,要是摄像头朝前就更好了
184,复   合   材   料
185,手机：我开飞行模式了
186,按V转至轰炸机炮塔视角
187,客机飞成了战斗机
188,原来造飞机看着很简单（手动狗头
189,卧槽战斗力起飞啊
190,↓老科目二了
191,起落架无法放下哈哈哈
192,手机：放我下来
193,鸟：我是机长
194,OHHHHHHHHHHHHHHHHHHHHHHHH！！！！！！！
195,考试结束，100分！
196,考试结束，0分，请考生将机开至起点位置！
197,第一次考试开始，考生就位
198,导师请就位，做系统介绍
199,正在载入模拟飞行考试-科目二系统，请考生刷卡！
200,接下来就是边缘修饰了
201,鸟：你这飞得没我快
202,只要动力大，门板都能飞上天
203,民航开出了战斗机模式。
204,《   航   拍   中   国   》
205,野生大飞机放生鸡地【doge】
206,两个币不亏！！！
207,嘿Siri，打开飞行模式
208,货拉拉司机第一次接这个活
209,保持巡航高度
210,东西侧风，注意飞行姿态
211,焯  级  飞   侠
212,要是学上一个空翻哪就摔机了
213,好家伙，这年头手机都会飞啊
214,白嫖下次一定
215,飞行（物理）
216,相亲相爱一家人：震惊某无良飞机公司经使用劣质手段制造飞机，大家提高警惕！！！
217,02R跑道可以起飞。
218,这是客机，被你玩成了战斗机的样子
219,《心动预警》
220,巜国之重器》
221,顿时感觉手上的无人机不香了
222,突然没电就尴尬了
223,LEAP-1C
224,[   +   ]
225,[     +     ]
226,炸弹小飞机已准备就绪
227,这人天天做能飞的航模
228,今儿天能做能飞的航模
229,塔台收到，可以起飞，一路平安
230,好家伙这么短距的起飞可以上航母了吧
231,你这个前起落架有图95的风采。
232,货拉拉还要给他拖回去，怎么可能会走
233,真   复合材料
234,那个你确定这个不会散架
235,成都你好，四川8633
236,四川8633，雷达识别，上6400
237,这又是一期不简单的视频
238,竟然有只母玄风！！！
239,伞兵视角
240,重着陆啊，哈哈哈哈
241,《坠机之地》
242,TOO LAGER!
243,呼叫总部空降成功
244,博南停止拉杆
245,还联合了中国著名货运企业!
246,客机玩成战斗机
247,客机狗斗战斗机
248,机长绩效奖金没了
249,出仓感觉良好
250,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
251,玄凤鹦鹉
252,见过真机的表示这机头太突出了
253,年轻人的第一台大飞机
254,强行提高制作成本
255,这再摔了价值就昂贵了
256,印度：你别想仿制我的光辉 。 不然我可告你侵权了。
257,硬核拍摄
258,重复一遍，可以起飞！
259,c919，塔台收到，可以起飞！重复一遍，可以起飞！
260,塔台收到，可以起飞！
261,好期待博主做旋翼机
262,【中国国际航空公司】已进入直播间
263,【联邦快递航空公司】已进入直播间
264,俄罗斯国际航空表示你看不起我 
265,防空炮火全面戒备
266,瑞 安 航 空
267,货拉拉还在看，哈哈哈
268,复飞我拉起
269,复飞
270,经费一般 效果拉满
271,核心技术省略了
272,失不失速要看机翼和飞行方向的夹角，不是看跟地面的角度
273,请你一定要加入我们的团队
274,地面风9米/秒，航向05，可以起飞
275,南航919准备好可以起飞，离地报
276,南航919准备好可以起飞，离地报
277,南航919可以推出，洞两左跑道外等待
278,硬核降落
279,降落，诶？没降呢。
280,上升6700
281,不久前C919已经飞往加拿大顺利通过了严寒测试了，已交付了一架给东航公司年底投入运营
282,我们的C919中型客机年底就可以运营载客啦！目前已生产了6架
283,经费有限 支持支持
284,好家伙又复飞了
285,《飞机》
286,拉飘了一点，落得还行
287,[   ➕   ]
288,小伙子厉害！
289,One hundred
290,开启飞行模式
291,连飞机都能运的货拉拉
292,摔机成本越来越高了
293,不过分，不过分
294,硬盒着陆
295,真.飞行模式
296,拉飘砸了写报告（
297,我直接就是一 一句卧槽
298,八该一反对
299,全体起立！！
300,滑行
301,来个老鼠做乘客
302,这跑道够长  我可以试飞一下
303,飞我从不担心 就是担心能不能降落哈哈哈
304,电力公司要加强这一带的巡视！！！！！
305,不知道，反正我把下面一排五个全点了一遍，这是五连吗
306,涵道式螺旋桨
307,弹幕护体
308,这短的滑距，可以上航母了
309,明天来波音上班
310,哥，这是民航
311,这个降落需要操作的啊
312,直接飞卧槽
313,空中放烟花（解体）我给三个币
314,飞行姿态不稳定即将解体
315,一台不愿透露姓名的货拉拉
316,舒克的新装备
317,打玛打了个寂寞
318,货拉拉果然没走！！！
319,真实飞行模拟器，里面有c919涂装
320,手机：怎么降落
321,手机：晕机了，请求下降
322,可以推断出这是vivo的x60pro
323,前方高能前方高能
324,塔台已滑行到达制定目标，请求起飞国航C919
325,搞个图传啊
326,首飞成功
327,卧槽牛皮
328,小伙子小伙子有前途啊 是不是咱们公司的啊
329,强迫症直呼内行
330,耳机党    危危危危危危危危危
331,耳机党当场阵亡
332,歼20上拆的双70（doge）
333,宇宙飞船指日可待
334,撞到电线杆
335,懂了 这就去造飞机
336,原来技术总监在机舱难怪没有炸鸡
337,速度大点没事
338,妈妈我上天了！
339,又一个大国重器是模型，石锤了！！
340,好家伙，我直接就好家伙
341,客机当战斗机开
342,请问哪里能搞到图纸
343,牛皮，不白嫖，已投两个币
344,真.航拍
345,这防抖可以的
346,拐弯这么顺的
347,737max羡慕这起落架高度
348,四川8633，地面静风，可以落地，02右
349,塔台塔台，离地了，四川8633
350,这不来个360度摄像头
351,商飞919:跑到外等待
352,电池突然没电就是另一个结局了
353,卧槽，最后尾翼还可以调整角度。厉害啊，这不是一个简单的模型啊
354,哥，这是民航，不是战斗机
355,危:高空坠物
356,落叶飘，走起！
357,可以可以，KT板还能这么玩！
358,肝帝
359,我已出仓，感觉良好
360,隔着拿客机当战斗机练呢
361,舒克诚不欺我……
362,↓老科目二了
363,有乘客上机
364,直接一个好家伙
365,雷达发现异常，歼8起飞，准备击落
366,迎角过大，失速了
367,飞行员;呼叫塔台，双发失效请求迫降。
368,走地鸡那个笑死我了
369,降落是难点
370,第二次考试开始，请考生就位
371,一看就知道是开战斗机的
372,俄式迫降
373,终于装喇叭了
374,扛着这个面试中国商飞岗位随便挑
375,涡轮少了
376,毛子直呼内行
377,成 田 妖 风
378,应该不是手机，是云台相机
379,好像飞机纸模的制作方法 
380,你币有了
381,上天得散架
382,反向推进发动机已失效！反向推进发动机已失效！
383,台风50级，C919请求起飞
384,有限责任公司
385,所以加强肋这里用的是多层 木板/纸板？
386,速度太快请求复飞
387,CAAC发来警告，八该一反对，三个敬畏
388,这里建议用1.5倍看
389,“真”飞机
390,翼尖小翼好看
391,前面都说了这是光亮板
392,你当战斗机开
393,斯内克视角
394,俄式降落
395,不，这是不好的行为
396,四川8633，上9800
397,《C919》
398,大户人家
399,歪，是货拉拉吗？我要拉一架飞机[吃瓜]
400,这玩意不是一体成型不会空中解体么
401,风切变警告
402,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
403,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
404,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
405,乌鸦驾驶员
406,炸鸡成本增加
407,三d打印？？？
408,真飞行模式
409,【美国天西航空公司】已进入直播间
410,【美联航】已进入直播间
411,【美国航空公司】已进入直播间
412,【春秋航空公司】已进入直播间
413,【中国国际航空公司】已进入直播间
414,蓝色的是STI吗？
415,司机狂喜
416,高成本制作
417,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
418,我已出舱感觉良好
419,卧槽。牛逼
420,不，这是马航
421,起落架加点缓冲器会不会好些
422,起落架能收吗
423,卧槽，牛逼牛逼
424,手机真就有飞行模式？
425,南航919准备好可以起飞
426,南航919准备好可以起飞
427,南航919准备好可以起飞
428,南航919可以推出，洞两左跑道外等待
429,南航919可以推出，洞两左跑道外等待
430,请点击前置摄像头
431,遇到强气流了
432,敞篷
433,印度：谁在侮辱在下？
434,货拉拉全程赞助
435,中国商用飞机注定是成功的。
436,真正的C919早就首飞成功了，今年底就可以在国内投入运营了
437,这个码赛克打的我服气！
438,飞机比手机值钱都不怕摔
439,Ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
440,手动牵引
441,起落架正常
442,今天正式交付东航
443,手机飞行模式
444,四川8633，塔台呼叫你
445,导弹视角
446,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
447,危
448,不投可以省两个币
449,好看，帅气
450,遥测信号正常
451,国外的模型大佬
452,逆风的方向更适合飞翔
453,突然没电了会怎样
454,经费一般，效果极强
455,下次整個特技飛機吧！[doge]
456,打错了，是视频时间
457,平尾窝了
458,建议换成：逮虾户
459,卧榻嘛恐高啊啊啊啊放我下去
460,我人都傻了
461,得用剪刀走了
462,我王多鱼没钱了!!!!!
463,为什么总是有种要掉下来的感觉
464,无人驾驶flag
465,首飞成功
466,旱地拔葱
467,来个空中转体
468,牛逼疯了
469,收油门。。收~~~~~撞到啦
470,挖槽！！！！！！！！！
471,这熟悉的机型
472,第三次复飞
473,终于落地了.
474,手机掉了着么办
475,我觉得没有技术总监会炸
476,官方赞助了没？
477,哈哈哈二战后期机枪手视角
478,鸟击
479,下降率太高啦！！！
480,C919:救一救
481,反推发动机启动
482,稳得一批
483,应该弄个摄像头放在飞机上，这样好操作一些
484,高压线
485,前进四
486,看的我热血沸腾
487,真拉飘哈哈哈哈
488,舒克贝塔航空公司
489,掉了零件？
490,点赞白嫖
491,无法降落，已复飞
492,卧槽 完美
493,等没电
494,如何着陆
495,核弹放哪啊？
496,微云台更清晰
497,居然没散架
498,战斗机式起飞，结果发现是C919，怎么有些不对？
499,好家伙
500,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
501,危 手机 危
502,我不认识doge
503,前方建议最大音量
504,小神龙那个别跑！暴露年龄了
505,只能拉一点点
506,到二仙桥了
507,下降率太高啦！！！
508,飞起来了投一个币吧
509,货拉拉，打钱！！
510,逆风的方向，更适合飞翔
511,俄航都是开舰载机的
512,1.5倍的bgm好带感
513,我是本次航班机长，飞机即将遭遇强气流，会有较大颠簸，请不要恐慌，系好安全带。
514,前面断几节，华航段三姐了解一下
515,万一掉水里
516,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
517,没撞电线上
518,c919注意侧风
519,电线讲究
520,[   +   ]
521,不贵呀，3块这个就零片了
522,瑞安直呼内行
523,啥？电池？飞机也有新能源的了吗？
524,电机，炸不了
525,人长得帅
526,进击的巨人
527,太神奇了
528,下次一定
529,一分钟，图纸拿来
530,bf5 斯图卡也有机枪手
531,客机这么开会出事吧
532,别飞着呢 等我对机头哈口气 能飞的更远
533,战斗民族
534,这个龙骨可以喔
535,准确的来说，这叫双面亮光板，跟KT差不多，韧性更好一点
536,矢量喷管，落叶飘？
537,为啥我感觉这不需要拉一只手就能拿动
538,我叫这个四川航空c919
539,这个航班号四川航空，5083
540,下次一定
541,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
542,妈妈，我恐高
543,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
544,机头是米其林？
545,穿梭机比这个还快
546,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
547,停止你的3456行为
548,控制台，控制台，这是C919商机，收到请回答，我们即将起飞
549,C919用的材料是碳纤维
550,停止你的3456行为
551,失速警告
552,成本不够手机来凑
553,雷达跟踪正常
554,VR
555,V1
556,？？？旱地拔葱
557,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
558,1.5倍bgm确实牛逼
559,CAVOK
560,商飞震怒
561,【美国快捷航空公司】已进入直播间
562,【美国西南航空公司】已进入直播间
563,【达美航空公司】已进入直播间
564,【顺丰航空公司】已进入直播间
565,泡沫拼接的？？？
566,总觉得小哥有点像孔侑
567,不收起落架
568,牛批
569,头顶仓
570,经典铁齿轮舵机
571,炸了就投两个币
572,前起落架太长了
573, 中途停车，扣100分
574,一炸双机
575,货拉拉还在没走
576,妈耶，宝友么这可不兴放啊……
577,货拉拉常客。
578,稳得一批
579,低空通场好评
580,老赌徒了
581,弄架白天鹅
582,3D打印？太棒了！
583,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
584,玄风？hhhhhh
585,欢迎乘坐C919
586,奥特曼场景图
587,超低空通场
588,C919好评（变红）
589,02跑道准许起飞
590,翼梢小翼不对
591,成本有点高
592,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
593,光之巨人
594,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
595,所以C919五年内基本没戏，你们还做它干嘛
596,起落架不能收
597,Russia     ai'r
598,拉飘了这波，还好自制的
599, 超级飞侠，乐迪准备起飞～
600,。。。前面的，飞机是要逆风才容易飞起来的
601,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
602,TEERAIN!
603,以为不能飞的
604,大哥1这是明航 不是战斗机 啊啊啊啊
605,重点是货拉拉
606,全体起立
607, 给手机来个物理超度
608,这既视感
609,你就不怕手机掉下来吗
610,续航多少公里？
611,运10不是没有正式上线，只是验证阶段就没了的吧？
612,尾旋来一个
613,为何不让他做空翻
614,叠飞机
615,马老师已就位
616,我人都傻了
617,战斗机中的手机
618,巧了，我之前也做过一架
619,舰载机式着陆！
620,梭哈了，牛逼
621,这才是航拍
622,这个牛壁
623,C919是大客，CR929是宽体
624,币投了，牛叉
625,电线杆！
626,牛批
627,防空炮准备
628,下次一定啊
629,货拉拉拉不拉拉布拉多
630,三边无边
631,小心电线
632,可不要给拜登老头子知道了，不然又要偷袭伊朗了
633,燃起来了
634,这贴纸是怎么做的啊？
635,芜湖起飞
636,第二次迫降失败
637,起落架准备
638,进条告诉我不能投
639,叙利亚狂喜
640,非战斗人员请撤离
641,着陆失败，再次复飞
642,V1   rotation
643,投了投了
644,火辣辣 好评
645,造型真赞
646,问题来了，怎么降落呢
647,塔台塔台c919请求起飞
648,低空通场
649,我想看看怎么降落
650,力大砖飞
651,这个通场针不戳
652,牛批
653,飞着飞着会不会裂开?
654,我爱这个推背感
655,帅的飞起
656,机翼还能动牛逼
657,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
658,这是骨架？
659,啥时候造空间站？
660,手机掉一地
661,航拍哈哈哈
662,三连了！！！！！！！
663,货拉拉拉不拉拉不拉多？？？？
664,这次真的一定。
665,下次丕定
666,重新启动左发
667,拐拐栋栋!
668,我知道这个是哗啦啦
669,你币有了（womeiyoubi）
670,乘客-1
671,落地得鼓掌
672,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
673,我直接好家伙
674,为啥我倒着飞2333
675,翻跟头看看
676,客机机动了
677,下降率太高啦！！！
678,这该怎么降落
679,后座机枪手
680,帅啊
681,你们有没有想过怎么下来
682,20回收整套
683,有动力的，不一定会失速
684,还用了榫卯结构
685,哈哈哈哈
686,炸一次几千块
687,弄个烧油的金属架构
688,重着陆！
689,中国机长
690,momox
691,总师
692,南方919，五边建立盲降报
693,起落架怎难那么长
694,我觉得下不了我几万
695,航拍视频
696,【上海飞机制造厂】进入直播间
697,头等舱舒适
698,空降2：55
699,【全日空航空】进入直播间
700,准备起飞
701,机头高了点
702,影响升力
703,V1 Rotate
704,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
705,我在看抖音，这个视频也是这个拍的也像抖音
706,于大爷狂喜
707,拼飞飞
708,V1  Rotate  V2
709,C919上5700保持
710,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
711,要降落了，诶，没落
712,V2
713,PANPANPAN
714,防不胜防
715,【中国吉祥航空公司】进入直播间 
716,【中国上海航空公司】进入直播间
717,【中国海南航空公司】进入直播间 
718,【中国南方航空公司】已进入直播间
719,【中国东方航空公司】已进入直播间
720,俯冲轰炸客机
721,燃起来了
722,起风了
723,terrin
724,牛逼牛逼
725,不qing
726,明天来波音报道
727,机头是成飞做的吗
728,极度舒适
729,南方航空3456行为
730,我做过类似的，材料成本几千，但是关键是手工和时间
731,上面还有一只鹰？
732,战地狂喜
733,这玩具厉害
734,下次一定
735,OHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
736,ohhhhhhhhhhhhhhhhhhhhhhhhhhh
737,3D打印
738,这里视频加速了吗？动力这么强？
739,牛逼
740,牛批
741,牛逼！
742,瑞安直呼内行
743,手机 危
744,力大飞砖
745,超临界
746,这次一定
747,这次一定！
748,复飞复飞！
749,牛逼上天
750,涵道太贵了
751,我直接好家伙
752,简直可以
753,卧槽可以
754,相当可以
755,小哥哥好帅
756,我只顾内行
