,词语,次数
436,谁,15
437,当,8
438,部长,2
439,.,233
440,撒切尔,3
441,切尔,3
442,还是,13
443,女王,2
444,养,1
445,猫,1
446,貌似,1
447,名字,5
448,里边,1
449,基本,1
450,牛津,14
451,两所,1
452,上过,2
453,本科,2
454,硕士,2
455,高兴,2
456,这样,11
457,实是,1
458,观众,5
459,上课,1
460,做人,1
461,留,1
462,一线,1
463,是不是,3
464,不是,40
465,语气,1
466,变,2
467,温柔,1
468,而,7
469,又,10
470,完全,8
471,统治,1
472,庞大,2
473,大人,1
474,人口,1
475,需求,1
476,相冲,1
477,相冲突,1
478,冲突,1
479,流水,4
480,铁打,3
481,文官,8
482,此时,2
483,还,18
484,没有,30
485,有意,1
486,有意识,1
487,意识,2
488,严重,2
489,严重性,1
490,惊喜,2
491,地盘,1
492,盘子,1
493,摔,1
494,英国,17
495,班,2
496,部首,2
497,相治,2
498,职位,8
499,则,1
500,翻译成,1
501,译成,1
502,握手,2
503,五季,1
504,每句,1
505,23333,4
506,白宫,1
507,练习,3
508,练习生,2
509,救命,2
510,字幕,33
511,跟不上,2
512,动机,1
513,不单,1
514,单纯,2
515,君,10
516,臣,2
517,死,8
518,不得,1
519,不得不,1
520,第一,8
521,第一天,1
522,一天,1
523,下马,1
524,下马威,1
525,哪怕,2
526,40,1
527,精彩,2
528,哭,2
529,选择,2
530,选项,1
531,论说,1
532,说好,1
533,好话,1
534,艺术,1
535,一点,8
536,hhhhh,5
537,电视,5
538,电视剧,3
539,受众,1
540,少,2
541,主角,1
542,演员,4
543,有点像,4
544,汤姆,1
545,汉克斯,1
546,克斯,1
547,笑,7
548,阿德,1
549,德纳,1
550,才,13
551,牛,3
552,逼,3
553,呀,2
554,killer,1
555,instinct,1
556,如果,22
557,他们,22
558,不知,14
559,错,5
560,两,2
561,办,2
562,表示,1
563,赞同,1
564,lse,2
565,三等,1
566,学位,2
567,上台,2
568,绑架,2
569,生活,1
570,本,1
571,有人,11
572,人才,2
573,实力,1
574,退休,1
575,时候,12
576,想要,6
577,荣誉,1
578,毕业,4
579,不可,5
580,可能,5
581,去,11
582,晕,3
583,。。。。,3
584,共轭,3
585,父子,3
586,眼睛,3
587,每,1
588,演技,1
589,太棒,1
590,太棒了,1
591,纸牌,6
592,屋,5
593,内核,1
594,爽,2
595,绝,2
596,论,1
597,英美,1
598,美的,1
599,父子关系,1
600,子关,1
601,关系,2
602,妥协,2
603,第一步,1
604,一步,1
605,雷霆,4
606,雨露,4
607,俱,3
608,天恩,1
609,比,11
610,恩,5
611,更,8
612,适合,1
613,显示,1
614,显示器,1
615,一万,2
616,万英镑,1
617,英镑,1
618,一台,1
619,朱元璋,1
620,BGM,8
621,以为,9
622,没关,1
623,录音,2
624,录音机,1
625,再也,1
626,出现,3
627,皆,1
