,弹幕
1,所有人：对啊对啊！
2,学生A：这个老师讲的肯定很好。
3,其实程序=框架+业务才对
4,来错了
5,我一般都准备睡觉了哈哈哈
6,所以老师你是前面15人还是后面的15人
7,哈哈哈哈哈
8,unity那位老师也是这样说的23333
9,～‘，
10,准备睡觉
11,哈哈
12,233
13,正在准备睡觉。。。
14,啥玩意儿都套框架啊
15,再见
16,睡了
17,黑马牛皮
18,hei
19,幽默
20,真实
21,哇 居然是今天刚出的视频  看了黑马的C++ 爱了 所以继续选黑马
