,弹幕
333,学习打卡
334,第一天打卡
335,打卡打卡
336,学习打卡
337,阔阔
338,学习打卡
339,打卡学习
340,阔阔
341,6
342,阔阔
343,阔阔
344,阔阔
345,哇咔咔​
346,打卡
347,学习打卡
348,打卡学习
349,学习打卡
350,打打打打卡卡卡卡
351,阔阔
352,打卡打卡
353,打卡打卡
354,学习打卡
355,学习打卡
356,不植发吗
357,打卡学习
358,挺好的
359,康师傅yyds
360,学习打卡
361,学习打卡
362,继续打卡
363,滴滴
364,打卡
365,打卡
366,打卡继续
367,打卡
368,稳住心态
369,atguigu
370,不错
371,学习打卡
372,康师傅yyds
373,学习打卡
374,软件很全啊
375,推荐，推荐！
376,打卡学习啦
377,不错
378,学习打卡
379,学习了
380,打卡
381,1
382,套娃是吧
383,6666
384,学习打卡
385,康师傅yyds
386,康师傅yyds
387,加油学习​
388,阔阔
389,学习打卡
390,111
391,康师傅yyds
392,打卡打卡
393,学习打卡
394,打卡咯
395,阔阔
396,尚硅谷
397,学习打卡
398,卷
399,阔阔
400,学习打卡
401,康神康神​
402,学习打卡
403,学习打卡
404,小新学习​
405,阔阔
406,打卡继续
407,打卡
408,加油加油
409,回来看看
410,打卡滴滴
411,打卡
412,学习打卡
413,学习打卡
414,学习打卡
415,学习打卡
416,阔阔
417,努力努力​
418,我来了​
419,三刷
420,学习打卡
421,1
422,690
423,海狗人参丸？
424,717劝退
425,挺好
426,。
427,和141位小伙伴一起学习。
428,"狗:""我总能找到课程不够好的地方  旺旺旺  我就是怼!"""
429,哈哈，宋老师和我想的长得不一样
430,来一桶康师傅
431,挺好
432,马宝国学javaday1
433,雌性的声音-。-
434,UDP Network Encoding
435,挺好
436,要下载吗
437,挺好
438,▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉
439,把剧本
440,挺好
441,2022/3/15
442,挺好
443,yyds
444,140人，有多少能坚持下来呢
445,挺好
446,嗨害嗨
447,嗨害嗨
448,嗨害嗨
449,嗨害嗨
450,握草，这么多人
451,yyds
452,大家好
453,厉害
454,___                _          / __|___  ___  __ _| |___         | (_ / _ \/ _ \/ _` |
455,为什么弹幕这么多重复
456,梦实现开始的地方，谢谢
457,阔阔
458,希望的开始​
459,开始奋战​
460,大家都寒假悄咪咪卷么
461,过五关斩六将 回来新手村看看
