,弹幕
238,都是00后？……
239,三连
240,我以前可喜欢看了
241,哈哈哈哈童年
242,看看我发现了什么
243,！！！我找到了！
244,看我发现了什么
245,改编？！？！
246,看看我发现了什么
247,看看我发现了什么
248,我的童年啊！
249,04的回忆杀
250,发现了宝贝
251,破站牛逼
252,看的是情怀
253,牛逼牛逼牛逼牛逼牛逼
254,05表示很感动。
255,回忆啊
256,小破站牛逼
257,，童年，童年。啊，我的童年!
258,太爱了
259,爷青回！！！！！！
260,爷青回
261,爷青回
262,童年rap
263,DNA动了
264,爷青回！！！
265,爷青回
266,还真就全集呗
267,耶斯莫拉
268,爷青回
269,燃起来！
270,阿弥陀佛
271,童年啊
272,爷青结
273,怀念
274,哇！！！！！！！
275,童年回忆！！？
276,童年啊！
277,童年，泪目
278,俺也一样
279,帅的呀皮
280,童年啊
281,我爱小破站
282,哈哈哈哈
283,中国有嘻哈
284,童年！！！
285,我也喜欢这个！
286,爱了爱了
287,以前超爱看的
288,童年！！！找到你了
289,童年的回忆
290,看我发现了什么
291,童年！！！
292,以前超喜欢的啊
293,哈哈哈哈
294,看看我发现了什么
295,童年啊，泪目
296,03年我哭了
297,2020年来的
298,不要挡字幕谢谢
299,2020疫情期考古
300,05表示已不知道几刷
301,十几年了
302,爷的童年回来辣
303,狼人狼人
304,看看我发现了什么？
305,有那味了
306,07年都看过
307,初代rap
308,看我发现了什么
309,我的青春！
310,哈哈哈哈
311,终于找见你
312,开头笑借鉴了京剧
313,童年回忆啊这个超搞笑
314,找到了耶
315,爷清回！
316,我的最爱！
317,看看发现了啥
318,爷童回
319,这不是爷的青春吗
320,泪目爷青回
321,八戒是Lisa榕配的
322,爷青回！
323,爷青回
324,是我最喜欢的动画片之一了
325,青春啊
326,童年啊童年 
327,童年啊
328,哈哈哈
329,爺青回
330,爷童回
331,爷真的青回！
332,童年啊！
333,童年回
334,爷青回
335,爷青回！爱死了！
336,牛
337,泪目
338,哈哈 
339,好棒啊
340,爷青回
341,00后的看过
342,Skrskr
343,爷童回
344,2020考古队
345,草。童年！！！03的童年！
346,经典
