,弹幕
196,我最爱的微软雅黑，唉
197,手写无敌
198,谢谢up 三联
199,现在连汉字都收费了
200,魔兽公司曾经就因为字体吃了好像几个亿的版权费
201,我用 DIN
202,视觉中国预警
203,只用思源
204,我用这些字体打一份商业合同算不算侵权
205,人家用心做视频，哪里骗关注了
206,这视频上面不是写的清清楚楚吗
207,所以自己写比较好
208,安卓就是这么搭配的
209,商用啊，收费很正常的吧
210,360可查的taislb思源的衍生也是可以免费商用的吧
211,你先要求停止侵权，不要一开始就律师函补钱
212,苹果电脑自带的字体都是免费的！
213,阿里的商用说是只能在阿里系网站商用
214,oooooohmygosh的视频耶~
215,怎样算商用啊
216,仓颉能复活吗
217,F1官方字体也不错的
218,思源宋体yyds
219,哇呜
220,人家制作字体不要投入吗？什么都得白嫖才对？
221,英文就26个字母
222,说360不好用的好好想想，为什么很多修理电脑的都在用
223,这就是挖坑坑人啊
224,攻（doge）
225,思源真的香
226,奇了怪了，这几年权利啊
227,进度条好评
228,字由可太香了
229,普通人随便用，只要不是赚钱都没关系
230,看有没有版权
231,自己设计字体就行
232,这个视频我看过！
233,用这个视频会不会有版权的问题呀？
234,这都有车万
235,差个攻
236,还好我去字魂网买了版权
237,苹果字体免费
238,那叫庞门右道
239,你跟旁门正道是什么关系
240,同问小米兰亭/Pro
241,思源真的的好用
242,思源永远的神
243,360仔细一点完全没问题
244,自己写
245,嘎嘎嘎自己写c
246,进度条好评
247,说得好，我用等线
248,请不要说流氓这样的话。设计字体也是需要设计者大量的时间的
249,手写录下
250,被这个坑过
251,文泉驿
252,普惠真的好用
253,去我的收藏夹吃灰吧
254,字体当然有版权，设计一套字体很麻烦的，收费也正常啊
255,方正
256,只敢用思源啊
257,自己写
258,你们和庞门正道什么关系
259,adobe谷歌牛逼
260,刚刚那是啥功能？
261,字魂vip不怂
262,旁门左道
263,只用思源字体  
264,古人创的字体，将来写是不是也侵权
265,我只用思源
266,进度条好评
267,很好，我选择阿里巴巴普惠体
268,自己写
269,普惠确实是说全平台ok
270,用鸿蒙和思源字体
271,挺喜欢腾讯的字体的
272,omygosh！
273,思源
274,自己写，
275,独角兽
276,开源字体就不侵权
277,藏着金坷垃！
278,思源黑体yyds
279,思源雅黑
280,自己写
281,好实用
282,你知道字体有多贵吗？
283,打印合同可以，不能用作广告视频
284,用中国字都能侵权，就很离谱，要不能来整个手写字体
285,最喜欢这个
286,仿宋才是宋朝的
287,王羲之发来警告函
288,阿里普惠体
289,仿宋三号
290,有广告啊，那就算了
291,国标字体不介绍一下吗？
292,《字体》
293,有区别吗？么有感觉
294,新罗马
295,猝不及防啊 防不胜防
296,商用如何定义呢？
297,自己写
298,我用思源
299,360？告辞了。哈哈哈
300,自己写
301,手写
302,自己写
303,三连三连
304,i了
305,用苹果自带
306,阿里和思源就够了
307,哈哈哈哈哈哈哈用过！
308,为什么显示不安全
309,便宜点也行啊
310,宋一体
311,这个好
312,方正
313,那么在linux使用就是侵权？
314,角角
315,楷体篆体中国古文体绝对不会侵权。
316,那他们用中文，我们是不是也要收他们钱了
317,Comic
318,360？wtf？
319,文字属于全人类，但字体不是，因为数字化和设计过程是别人的劳动成果，很多艺术字体经过精心设计调整，这么理直气壮说共有？
320,思源体，yyds！
321,强推思源宋体
322,盲猜有方正
323,思源黑体好看！
324,还是喜欢
325,阿里普惠
326,5900
327,苹方体
328,哈哈
329,国家为什么不出几款？
330,思源
331,OPPOsans，yyds
332,自己写
333,正道的光
334,庞门排面
335,omygosh
336,comic sans字体
337,可以
338,站酷有些字体不是免费
339,建议直接跳转6:15
340,一个就够
341,庞门左道好像能用
342,思源真的香
343,@毒角show
344,进度条爱了
345,思源可以
346,以后说话也侵权了
347,思源好用
348,庞门正道 哭晕
349,字客不香么
350,有版权的一律不用，靠
351,思源字体天下第一
352,老版roboto
353,思源
354,英文的话comic sans比较好
355,有呀有呀
356,识别一次1块钱
357,我用LaTeX(doge)
358,衡水体……
359,！
360,好喜欢黑体呜呜
361,思源好看又好用
362,北航狂喜
363,苹方咋不说？
364,O哥！！！！
365,方正不是没了吗
