,弹幕
211,方块字
212,我看到了我的名字
213,给币但是真的听不下去了
214,我看到了“担”
215,妈耶
216,捷
217,貌似有点围棋的意思
218,我们连十分之一都没用到
219,我看的都是擓……
220,我感觉。。我要近视了
221,四个排
222,会看到一团黑
223,一个小方块？？？
224,难道不是一个黑方块吗？
225,114514个（确信）
226,宏图待看新秀
227,中华文化不应该是正体字吗
228,写满了吃人二字
229,▓​
230,真巧，英语词汇也有3000
231,开始困了
232,“龘”这个呢？
233,▓​
234,擓！
235,蕴
236,解
237,单人旁看到了
238,我认十万个字
239,这至少是篇EI
240,佛
241,▓
242,扣
243,Python！
244,真不错
245,真不错
246,▓​
247,已经开始听不懂了
248,我看见彁了 (bushi
249,蔑
250,16次方是65536
251,一个正方形
252,抽字！！！！！
253,升华了
254,《biang》
255,竖心旁还有那么多叫法？
256,可以发论文了
257,wc我看到了焦哈哈哈
258,夔
259,相、排、扭
260,尚魏大大呜呜
261,招财进宝
262,“〇”
263,藕！
264,什么！原来这不是马赛克吗
265,我在B站学语文
266,牛逼就对了
267,二次元张琪瑞刺杀唐人街李焕英
268,牛
269,庭仁
270,週   侧   未   定
271,长风破浪会有时直gua云帆济沧海
272,所以想说明啥
273,竖心旁
274,方块汉字
275,䨻
276,升华了
277,为什么没有喃字
278,繁体“经”字
279,一个黑方块
280,这不四合院吗
281,我靠Python。
282,会得到一团黑
283,佛
284,卧槽这么
285,一个黑黑的方块
286,看到一圈黑
287,二维码
288,AI
289,一個大方形
290,▓​
291,菈
292,“〇”
293,十且
294,？？？竖心和斜玉是两个偏旁吧？
295,我看见了鼎，新，我字
296,所以是什么？
297,Python！
298,Python！
299,Python！
300,二维码
301,䨻
302,卧槽，有9W？
303,草，看到了は
304,▓
305,烫烫烫囤囤囤屯屯屯
306,曲
307,道士才用的字
308,长风破浪会有时，直挂云帆济沧海
309,综
310,贝一
311,▓​
312,好像是，榷！
313,国今下
314,烧
315,这不就是二维码
316,是“热”
317,一个黑块
318,萸
319,雍
320,牛
321,Q是字母..不是Q型
322,隐约看到，明显
323,日文就是一团黑色
324,為什麼是gei予？？？？？？
325,二维码
326,＾＾＾
327,最爱仿宋了
328,气抖冷警告
329,担？
330,看到“咀”
331,感恩思源
332,wolfram
333,魑魅魍魉
334,biangbiang面
335,啊我升华了
336,冚（
337,老16位了
338,直挂云帆济长海
339,卧槽
340,very nice
341,biangbiang面
342,这不就是二维码吗
343,秀
344,捷
345,随机概率分布
346,密度云
347,一个黑方块
348,就是竖心旁
349,墨涂涂
350,biangbiang面
351,二维码!
352,单词好像也是3000
353,85568
354,微软雅黑
355,擓！
356,妙啊
357,反文旁
358,■
359,白空解
360,担
361,看到了ば
362,䅍
363,长风破浪会有时，直挂云帆济沧海
364,进度条表示并不简单
365,汉字真的好美
366,会字去哪了？
367,行路难
368,有一個權啊
369,好家伙65535
370,我看到了蕴
371,日语就没几个字
372,长风破浪会有时，直挂云帆济沧海
373,史
374,65535？只比表格软件的行数少一个。。。
375,会有的这个东西■
376,空降00:00
377,卍
378,这个还要看字体啊
379,biang？
380,䨻
381,辛苦了
382,赶紧扫一扫
383,△▽☆⊙◇∩∪
384,擓
385,田
386,学习了
387,是不是真的是很重要
388,側
389,我
390,连
391,命令方块
392,哇 家族
393,OMG
394,逃
395,厉害了
396,最左边是扣？
397,熊猫头
398,二维码
399,囸
400,河图洛书吗hh
401,一个煤块
402,这是马赛克。
403,惠
404,福瑞
405,扣
406,我叫思源.........
407,好！
408,会看到所有汉字。
409,日文从我们这借鉴过去的
410,biang
411,仁
