,弹幕
181,那么第二个阶段呢，我们要学习的是目前最流行的一种面向对象的编程思想
182,我们就能写出通讯录管理糸统这么一个案例了
183,在这个阶段过后
184,首先在第一个阶段中
185,那么学完过后呢，我们可以对C鸭鸭有一个初步的了解
186,那么接下来我们来一起看一下第一个阶段的课程安排
187,那么并且在每个阶段过后呢，也都会有相关的案例来给大家巩固每个阶段所学到的知识点
188,在我们视频中啊，总共分为三个阶段
189,同学们好，首先呢我们来介绍一下C鸭鸭的学习课程安排
190,学过C C++还得从头干
191,Standard Template Library，标准模板库
192,终于离开新手村了
193,就当是一场梦醒了很久还是很感动
194,恭喜你！发现了B站中的镇站之宝！
195,这个看起来很硬核
196,恭喜你发现宝矿！
197,恭喜你发现了镇站之宝
198,人生苦短，我学Python
199,感谢老师
200,为了听懂余小C的C语言
201,我的老师说好了上网课失踪了·····
202,看这个视频要从一只蝙蝠说起
203,恭喜你发现了编程区镇站之宝
204,谢谢上面说“学过c得跳到p83”，感谢！
205,大二的学生来巩固大一上学期学的C++
206,现在一共只有十一个人了
207,这个老师的口音很好
208,这1000多万播放量估计几十万中国人卷it哈哈哈哈
209,const 头发=0
210,黄胤维好好学
211,在我人生最迷茫的时候开始学习的，希望以后回过头，再看的时候能有收获
212,梦开始的地方
213,复试的来了，太难了
214,STL隔声量？
215,学完这全课程要多久
216,梦开始的地方
217,《C  鸭  鸭从  入  门  到  秃  顶》
218,梦开始的地方
219,为了鬼狐大人！！！
220,他们学完c++其他基本上就会了？真的吗
221,python学到面向对象就转行了
222,从入门到秃顶
223,梦开始的地方
224,确实有些难，我来冲头学习了
225,感觉看着想睡觉了
226,梦开始的地方
227,B站镇站之宝
228,为了岳子轩来学的
229,梦开始的时候
230,说一天看完的，是因为天上一天，人间一年吗？
231,说一天看完的是因为，天上一天，人间一年吗？
232,锅炉人开始
233,大年除夕看慕课的你，或许很努力，或许很有故事，将来我会回来看这条弹幕，感谢努力的自己
234,n梦开始的地方
235,见识到了，c
236,c++，从入门到转行
237,从入门到放弃
238,南邮来提前预习了
239,研一才开始学C++
240,已经会了，通讯录
241,阿磊上课第一节
242,老师讲的太好了！
243,基础语法入门的内容都要记下来吗
244,后天考试，熬夜肝
245,梦开始的地方
246,好家伙都不上班吗
247,有人知道老师叫谁吗
248,高中竞赛
249,梦开始的地方
250,1000多万播放量，有点恐怖了
251,知道讲义在哪里的朋友们可以告诉一下吗
252,梦开始的地方
253,梦开始的地方
254,c++学完再学算法
255,从长发飘飘到秃顶
256,各位大佬好
257,从成龙到葛优
258,差不多就是网吧管理系统
259,一起学习啊
260,太可爱了哈哈哈哈哈 C丫丫
261,声音好像岳云鹏(doge)
262,梦开始的地方
263,从 入 门 到 放 弃
264,这是我看过的C++最棒的教程
265,不要吵了，每种语言都有自己的特点，比如C语言就是全世界最好的语言
266,谢谢下面的翻译员
267,打螺丝不香吗？各位道友
268,感谢底下字幕君
269,从今天开始，看看7天后的学习成果
270,梦开始的地方
271,C++:从入门到入土
272,梦开始的地方
273,这套视频呢
274,那么第二个阶段呢
275,在这个阶段过后
276,java是世界上最好的语言
277,梦开始的地方
278,梦开始的地方
279,0基础看热闹
280,先学哪个语言
281,我只是为了过编程课
282,梦开始的地方
283,梦开始的地方
284,发型编程是甚么啊
285,表白底层字幕君
286,梦开始的地方
287,莫名同步了
288,上官可编程
289,这个时代名为白胡子啊！
290,梦开始的地方
291,Java 中入门到放弃
292,好了，开局撤退
293,过来给老师点个赞
294,收藏夹吃灰有了
295,中国石油大学（北京））
296,耳机党阵亡。
297,学挨踢
298,最后这个我写了21天，每天写4小时才完成
299,Java不好找工作准备在学学C++
300,学校教CC++java，来B站复习和学python
301,大家一起努力学习，冲鸭！！！
302,梦开始的地方
303,梦开始的地方
304,梦开始的地方
305,梦开始的地方
306,梦开始的地方
307,为虚幻引擎的学习而来
308,梦开始的地方
309,最难的语言
310,怎么会那么热爱学习
311,我就想考计算机二级证书
312,我只想老计算机二级证书，不想多牛逼
313,萌新可以先去学c语言b站一搜就有那个赤斌老师的，讲的特别好
314,我已经开始困了
315,哇靠 进来之前以为是52min原来是52h
316,要学数据结构的前来补课
317,感谢楼下字幕君
318,c学完了来学c++
319,从入门到热门
320,每个阶段的案例
321,轻而亿举
322,我来重新开始了
323,65退休老将申请出战！！
324,以及stl的使用
325,啊？？？C++才是世界上最好的语言
326,C++万岁！！！
327,会越来越快乐
328,没对象的那位，new运算符自己创建(^_^)v
329,为了成为游戏制作人01
330,using namespace std;
331,c语言可以了，来学这个
332,第一节的在看人数果然是最高的
333,我学了两年了，拿到了ccf的二级证书，现在一看到C++就头疼(初一)
334,写完就有对象了
335,黑马的课确实好！
336,有C语言基础的可以跳吗？
337,c++对英语要求高吗？
338,学完易语言我开始学c++
339,现在我python，Java，c++一起学。。。
340,不知道怎么转换二进制。
341,东北落选得有一个
342,泛型编程
343,只要2.18天就可以学完太简单了（doge）
344,b站大学，我们称之为*大
345,感谢下方蓝色字幕君
346,还是万能头好
347,真的大一学完全忘了
348,我认为这是B站最好的c++教程
349,高级语言
350,难得要命
351,蓝字用的是五笔输入法？系统的系怎么写成这样的
352,Java那些框架搞得头疼，过来放松下
353,学java累了来学c++
354,b站大学可还行
355,转专业的小波前来补课
356,企业级开发
357,c++基础语法入门，c++核心编程，c++提高编程三个阶段
358,全世界都在学中国话~
359,镇站之宝
360,怎么还降月薪呢 （狗头）
361,为用虚幻做铺垫
362,45人，一个班，哈哈~
363,面向对象编程
364,死在通讯录系统中了
365,我爱b站，让我一个高中生也能学
366,html是最好的语言
367,php是这世界上最好的语言
368,大一上学的c++已经忘光
369,嵌入式的各位一起加油
370,企业级理解
371,企业级，属实抽象
372,北邮的别走，今年考
373,别问问就是牛逼
374,我看C++就是想拿来操作计算机的?
375,让我根据亚索的技能伤害求一个热血方程
376,这个课程感觉是挺符合我的
377,我天，现在有24个同学一起再看
378,学了会不会变光头
379,苏州科技大学地理信息科学专业，未来考研目标河海大学
380,已放弃，来打卡
381,小梦打卡
382,小梦打卡
383,这么晚还206个人在卷？
384,复习一遍
385,梦开始了
386,简简单单
387,复试的人来了
388,166人同时在线
389,IT牛马(doge)
390,gogogoggogo
391,已经开始困了
392,蓝字粉子虽然谢谢但是好好笑
393,学到什么程度能过计算机二级
394,面对咸鱼编程
395,明天考试了我来看入门55555
396,我没有这个软件怎么办？
397,一个班哈哈
398,没办法必须要来看这个了
399,基础语法入门的内容是都要背下来吗
400,Python程序员前来报道
401,梦开始的地方
402,好家伙
403,我们学校是五年级就学C++了
404,记录一下，p98
405,学这么多才入门？？？
406,求讲义，哪里可以找到
407,财大集合
408,三年级，我有点慌
409,发现宝藏
410,c++开始啦
411,计算器
412,脱发开始
413,我们不学C直接C++
414,100+离谱
415,扶我起来 我还能学
416,轻而易举
417,notion 好评
418,永远有人系列
419,开幕撒花
420,电子科技大学因为老师太水前来自学
421,200人。。。。
422,镇站之宝
423,三连后学习
424,196人同时学习...
425,有兄弟知道up主的课件可以在哪里下载吗？
426,要对象才能写？
427,再不要来凡尔赛行不行？！
428,武汉科技大学
429,C++宇宙第一！！！（二刷第一天）
430,C鸭鸭
431,c鸭鸭
432,上头了
433,好的老师
434,哈哈哈314个合集呢，慢慢来吧
435,哈哈哈，154个人正在看
436,编程猫老师？
437,一只江小白到此一游
438,建议全程是2倍速
