,弹幕
176,虽然目的是让他什么都不干，但汉妃的效率确实高的离谱，什么计划书，都是哈克说完他直接就要帝国来了
177,博纳本科牛津硕士剑桥，有一集他拿回母带的时候提到过
178,看很多遍都不腻
179,弗兰克·埃瑟尔，代号“雪貂”
180,抽象工厂模式的别走
181,就像在上世纪70年代，肯定有人会说造核武有什么用
182,可以练英语听力了
183,抽象工厂类模式
184,字幕组也是神了
185,又不是他一个人做的，他下属几万人呢
186,妈耶，好复杂
187,红箱是从下面开的
188,梦开始的地方
189,哇
190,首相练习生
191,专业
192,ignorant is power
193,被汉弗莱安排的明明白白
194,常务次长是主抓业务的
195,超爱是大臣，但是最近网上找不到看了
196,这时候还很年轻啊
197,哈哈哈哈
198,《申论》
199,大哥变爸爸
200,剑桥的？！哦～我明白了。。。
201,他真的懂农业
202,bgm肖二?
203,好家伙 前面的老和珅了
204,可爱23333
205,前面等了两次
206,灵活
207,副手是完全做事的人，最高的是政客
208,伯纳德的问题是代表观众发言的
209,吉姆哈克的双面人生
210,哈哈哈哈哈哈哈哈
211,专业
212,第一季的汉皮真是名副其实的白厅玫瑰
213,情报
214,这个哈克看着好年轻啊
215,毕业于剑桥那不是很危险
216,此时哈克还很单纯
217,哈哈哈哈哈
218,我怂了 救我一把
219,完结撒花
220,我忘记这些名字是谁的了
221,英国这么玩行的通
222,BGM:波莱罗圆舞曲
223,好家伙，专业不对口好摆弄
224,一个人是不可能有能力完全靠自己管理一个庞大的国家的
225,哈哈哈哈哈哈哈
226,历史性会晤
227,哈哈哈
228,半部银梦治天下（已自裁）
229,是大臣里大家都好年轻啊
230,谁能指教一下这里BGM的曲名？
231,-+
232,这能力
233,哈哈哈哈哈
234,美国好大儿
235,感觉竞选政客都是摆设，实际都是文官在治理
236,23333
237,川宝冷笑
238,这个皮箱是怎么打开的，我没看懂
239,有点像古代官和吏，官是考试选出的
240,这语速，我都看不过来
241,套娃哈哈哈哈
242,我还可以抢救一会
243,好家伙
244,666
245,文山会海
246,感觉哈克啥都懂了
247,美国背锅了
248,做好最坏的打算
249,天哪，我感觉自己在这里面活不过两集
250,不早说，我反复看了五遍
251,妙啊
252,谢谢~
253,这不就是很多欧洲国家对华现状吗
254,这挺正常啊
255,無知卻能有一些尊嚴 2333
256,2333
257,都是现成的改一下日期
258,梦开始的地方
259,感觉破烂熊的翻译更好
260,up的剧都特别棒
261,你是他（美国）大表哥，客气啥
262,半部YM治天下
263,共轭父子
264,首相办公厅
265,实际上都被架空了
266,好家伙，文官和胥吏
267,雷霆雨露，俱是君恩
268,数码宝贝bgm！双厨狂喜
269,哈克太呆萌了
270,置换内涵
271,翻译的好
272,太狡猾
273,不简单
274,纸牌屋前两季真的好
275,看出来这身西装太帅了
276,在某些程度来说，比如名利双收的精英
277,阿诺德大魔王
278,历史会晤
279,早就安排的稳稳妥妥的
280,这部剧真的是人类瑰宝
281,根本不是什么办事效率，就是糊弄哈克的
282,】
283,第一季78年之前好像就拍好了，但播出很晚
284,稀碎的地图
285,哈哈哈哈
286,半部AM治天下
287,纸牌屋房子和演员都塌了
288,雷霆雨露俱是君恩
289,半部YM治天下
290,哈哈
291,纸牌屋完全不够看
292,想不到伯纳德还是剑桥的高材生。。。已经秒杀90的人了
293,三巨头合体
294,阿诺德大魔王
295,这工作能力太强了把
296,House trained
297,BGM怎么成了酒馆小调
298,还有半部子弹飞。
299,哈克的双面人生
300,伯纳德初登场时好帅，后来就老了
301,半部大臣治天下，半部首相治天下
302,这时候看着年轻
303,虚构这个部门是为了剧情里可以随便放其他部门的事进来
304,妙啊
305,8小时合集，今天有事干了
306,哈克：麻了
307,法国皇帝界的拿破仑
308,合集，按爪ღ˘⌣˘ღ来了
309,不会俄语，别害怕
310,什么罕见？哪有罕见？？
311,好家伙，大明
312,伯纳德看着也不年轻了啊
313,小天使伯纳
314,民可使由之，不可使知之
315,为什么我小时候看过这个
316,欢迎菡昭打开这个新世界大门！！！！！！！！
317,老 中 青
318,即便有也毛骨悚然了
319,BGM:波莱罗舞曲
320,半部英剧治天下
321,伯纳德才是看的最明白的
322,半部YM治天下
323,架空大臣？
324,咳咳，影视剧那有新闻带感
325,这是今年考研翻译句子
326,lse也很好啊啊
327,梦开始的地方
328,梦开始的地方
329,三巨头会面
330,这么一点地方分这么细
331,半部英剧治天下
332,纸牌屋也是爽剧
333,这才是大英首相
334,我下属的下属不是我的下属
335,就和诚实的政客一样
336,不不不，他可不是天真
337,三分钟一跳~~
338,是大臣，第五共和国，大明王朝1566
339,早都看完了，进来投个币就走
340,伯纳我记得他是牛津剑桥双学位
