href,时长,名称,BV号,播放量,弹幕数,up主,up主id
https://www.bilibili.com/video/BV1pE411c7tx,23:35:28,【算法与数据结构】2020年数据结构与算法,BV1pE411c7tx,8.7万,574,丶拿小铁,283716819
https://www.bilibili.com/video/BV1Kb411W75N,147:19:14,尚硅谷Java入门视频教程(在线答疑+Java面试真题),BV1Kb411W75N,1281.4万,52.0万,尚硅谷,302417610
https://www.bilibili.com/video/BV1et411b73Z,52:14:34,黑马程序员匠心之作|C++教程从0到1入门编程，学习编程不再难,BV1et411b73Z,1439.4万,30.8万,黑马程序员,37974444
https://www.bilibili.com/video/BV1i7411G7kW,61:31:20,最新最全Node实战课程（含爬虫和web服务器开发）,BV1i7411G7kW,21.4万,7728,老陈打码,40018594
https://www.bilibili.com/video/BV1wp4y1z7L6,39:30:20,爬虫工程师进阶必会之JS逆向(反爬),BV1wp4y1z7L6,4.9万,1269,Python充电栈,400906323
https://www.bilibili.com/video/BV1aE411o7qd,60:39:02,【机器学习】【白板推导系列】【合集 1～33】,BV1aE411o7qd,107.2万,2.7万,shuhuai008,97068901
https://www.bilibili.com/video/BV1iW411d7hd,32:07:02,【精校中英字幕】2015 CMU 15-213 CSAPP 深入理解计算机系统 课程视频,BV1iW411d7hd,62.4万,1.4万,刘迪望,19398014
