href,时长,名称,BV号,播放量,弹幕数,up主,up主id
https://www.bilibili.com/video/BV19U4y1W7Uk,00:51,员工下班打麻将也要辞退？曹德旺：一辈子坚持做工人就不是好工人,BV19U4y1W7Uk,93.4万,1164,资鲸网,492841900
https://www.bilibili.com/video/BV1AN411o7ai,03:10,【首发】医院里不同科室，差别太大，选科一定要慎重,BV1AN411o7ai,54.6万,3504,普外科曾医生,410558000
https://www.bilibili.com/video/BV1Gy4y1v7xy,01:27,遇到同事摸家底式套话，如何应对？ #升职加薪 #张燚伟 #职场,BV1Gy4y1v7xy,35.4万,199,张燚伟,690661734
https://www.bilibili.com/video/BV1Ny4y1e7iR,01:16,麦肯锡经典面试题：上海有多少只鸟？,BV1Ny4y1e7iR,55.7万,1127,大红姐有点东西,1426178487
https://www.bilibili.com/video/BV17T4y1K7gt,05:26,我要是年会中奖了，可以送给你,BV17T4y1K7gt,79.5万,6326,肝帝董佳宁,397490386
https://www.bilibili.com/video/BV1MU4y1W7GT,09:57,劳动仲裁视频迎来催人泪下的《撤稿函》，通篇内容步步惊心，连“泄露商业机密”都扣上了…,BV1MU4y1W7GT,41.1万,2129,猪摸摸Li,11130880
https://www.bilibili.com/video/BV1ip4y1W7Sa,03:31,资深500强HR分享｜面试被diss学历的完美回答,BV1ip4y1W7Sa,81.3万,427,求职救星瑞秋姐姐,471151393
